Title,Notes,Due Date,Due Time
Scenario + W&B + Performance (Light),"ACS focus: PA.III.B / PA.V.A / PA.V.D / PA.V.B. Outcome: Build Tampa scenario plan, W&B, and performance numbers; explain each number source.",2025-12-12,09:00
Anki Light Review (15–20 min),Focus only on missed ACS codes + yesterday’s theme. Keep it easy.,2025-12-12,14:00
Regulations + Ramp check (Hard),ACS focus: PA.I.B / PA.I.C. Outcome: Certificates/medical/endorsements/currency; ramp-check Q&A tied to scenario.,2025-12-14,09:00
Mock Oral (No-lookup) + Anki,20 min: answer out loud (DPE style). 25 min: Anki review (missed codes heavy).,2025-12-14,19:00
Airworthiness + Maintenance (Light),"ACS focus: PA.II.B. Outcome: ARROW, inspections, ELT, inop equipment flow, owner/operator/PIC; logbook review.",2025-12-15,09:00
Anki Light Review (15–20 min),Focus only on missed ACS codes + yesterday’s theme. Keep it easy.,2025-12-15,18:00
Weather + ADM (Hard),"ACS focus: PA.I.E / PA.IX.A. Outcome: Briefing workflow, METAR/TAF/PIREP/AIRMET/SIGMET; personal minimums; go/no-go.",2025-12-16,09:00
Mock Oral (No-lookup) + Anki,20 min: answer out loud (DPE style). 25 min: Anki review (missed codes heavy).,2025-12-16,19:00
XC Navlog mastery (Light),ACS focus: PA.III.B. Outcome: Explain navlog calculations; winds aloft; real clock ETAs; alternates; fuel planning.,2025-12-17,09:00
Anki Light Review (15–20 min),Focus only on missed ACS codes + yesterday’s theme. Keep it easy.,2025-12-17,18:00
Airspace + Sectional + Chart Supplement (Hard),ACS focus: PA.I.F. Outcome: Route airspace/SUA; airport diagram; Chart Supplement (LDA/remarks).,2025-12-18,09:00
Mock Oral (No-lookup) + Anki,20 min: answer out loud (DPE style). 25 min: Anki review (missed codes heavy).,2025-12-18,19:00
Systems + Aerodynamics (Light),"ACS focus: PA.VI / PA.VII. Outcome: Controls, engine, electrical, lights, stall warning; Bernoulli/Newton; stalls/CG effects.",2025-12-19,09:00
Anki Light Review (15–20 min),Focus only on missed ACS codes + yesterday’s theme. Keep it easy.,2025-12-19,14:00
Human factors + Emergencies (Hard),"ACS focus: PA.XII / PA.IV. Outcome: Hypoxia types, alcohol/IMSAFE; emergency descent; lost procedures; passenger management.",2025-12-21,09:00
Mock Oral (No-lookup) + Anki,20 min: answer out loud (DPE style). 25 min: Anki review (missed codes heavy).,2025-12-21,19:00
Scenario + W&B + Performance (Light),"ACS focus: PA.III.B / PA.V.A / PA.V.D / PA.V.B. Outcome: Build Tampa scenario plan, W&B, and performance numbers; explain each number source.",2025-12-22,09:00
Anki Light Review (15–20 min),Focus only on missed ACS codes + yesterday’s theme. Keep it easy.,2025-12-22,18:00
Regulations + Ramp check (Hard),ACS focus: PA.I.B / PA.I.C. Outcome: Certificates/medical/endorsements/currency; ramp-check Q&A tied to scenario.,2025-12-23,09:00
Mock Oral (No-lookup) + Anki,20 min: answer out loud (DPE style). 25 min: Anki review (missed codes heavy).,2025-12-23,19:00
Airworthiness + Maintenance (Light),"ACS focus: PA.II.B. Outcome: ARROW, inspections, ELT, inop equipment flow, owner/operator/PIC; logbook review.",2025-12-24,09:00
Anki Light Review (15–20 min),Focus only on missed ACS codes + yesterday’s theme. Keep it easy.,2025-12-24,18:00
Weather + ADM (Hard),"ACS focus: PA.I.E / PA.IX.A. Outcome: Briefing workflow, METAR/TAF/PIREP/AIRMET/SIGMET; personal minimums; go/no-go.",2025-12-25,09:00
Mock Oral (No-lookup) + Anki,20 min: answer out loud (DPE style). 25 min: Anki review (missed codes heavy).,2025-12-25,19:00
XC Navlog mastery (Light),ACS focus: PA.III.B. Outcome: Explain navlog calculations; winds aloft; real clock ETAs; alternates; fuel planning.,2025-12-26,09:00
Anki Light Review (15–20 min),Focus only on missed ACS codes + yesterday’s theme. Keep it easy.,2025-12-26,14:00
Airspace + Sectional + Chart Supplement (Hard),ACS focus: PA.I.F. Outcome: Route airspace/SUA; airport diagram; Chart Supplement (LDA/remarks).,2025-12-28,09:00
Mock Oral (No-lookup) + Anki,20 min: answer out loud (DPE style). 25 min: Anki review (missed codes heavy).,2025-12-28,19:00
Systems + Aerodynamics (Light),"ACS focus: PA.VI / PA.VII. Outcome: Controls, engine, electrical, lights, stall warning; Bernoulli/Newton; stalls/CG effects.",2025-12-29,09:00
Anki Light Review (15–20 min),Focus only on missed ACS codes + yesterday’s theme. Keep it easy.,2025-12-29,18:00
Human factors + Emergencies (Hard),"ACS focus: PA.XII / PA.IV. Outcome: Hypoxia types, alcohol/IMSAFE; emergency descent; lost procedures; passenger management.",2025-12-30,09:00
Mock Oral (No-lookup) + Anki,20 min: answer out loud (DPE style). 25 min: Anki review (missed codes heavy).,2025-12-30,19:00
Scenario + W&B + Performance (Light),"ACS focus: PA.III.B / PA.V.A / PA.V.D / PA.V.B. Outcome: Build Tampa scenario plan, W&B, and performance numbers; explain each number source.",2025-12-31,09:00
Anki Light Review (15–20 min),Focus only on missed ACS codes + yesterday’s theme. Keep it easy.,2025-12-31,18:00
Regulations + Ramp check (Hard),ACS focus: PA.I.B / PA.I.C. Outcome: Certificates/medical/endorsements/currency; ramp-check Q&A tied to scenario.,2026-01-01,09:00
Mock Oral (No-lookup) + Anki,20 min: answer out loud (DPE style). 25 min: Anki review (missed codes heavy).,2026-01-01,19:00
Airworthiness + Maintenance (Light),"ACS focus: PA.II.B. Outcome: ARROW, inspections, ELT, inop equipment flow, owner/operator/PIC; logbook review.",2026-01-02,09:00
Anki Light Review (15–20 min),Focus only on missed ACS codes + yesterday’s theme. Keep it easy.,2026-01-02,14:00
Weather + ADM (Hard),"ACS focus: PA.I.E / PA.IX.A. Outcome: Briefing workflow, METAR/TAF/PIREP/AIRMET/SIGMET; personal minimums; go/no-go.",2026-01-04,09:00
Mock Oral (No-lookup) + Anki,20 min: answer out loud (DPE style). 25 min: Anki review (missed codes heavy).,2026-01-04,19:00
XC Navlog mastery (Light),ACS focus: PA.III.B. Outcome: Explain navlog calculations; winds aloft; real clock ETAs; alternates; fuel planning.,2026-01-05,09:00
Anki Light Review (15–20 min),Focus only on missed ACS codes + yesterday’s theme. Keep it easy.,2026-01-05,18:00
Airspace + Sectional + Chart Supplement (Hard),ACS focus: PA.I.F. Outcome: Route airspace/SUA; airport diagram; Chart Supplement (LDA/remarks).,2026-01-06,09:00
Mock Oral (No-lookup) + Anki,20 min: answer out loud (DPE style). 25 min: Anki review (missed codes heavy).,2026-01-06,19:00
Systems + Aerodynamics (Light),"ACS focus: PA.VI / PA.VII. Outcome: Controls, engine, electrical, lights, stall warning; Bernoulli/Newton; stalls/CG effects.",2026-01-07,09:00
Anki Light Review (15–20 min),Focus only on missed ACS codes + yesterday’s theme. Keep it easy.,2026-01-07,18:00
Human factors + Emergencies (Hard),"ACS focus: PA.XII / PA.IV. Outcome: Hypoxia types, alcohol/IMSAFE; emergency descent; lost procedures; passenger management.",2026-01-08,09:00
Mock Oral (No-lookup) + Anki,20 min: answer out loud (DPE style). 25 min: Anki review (missed codes heavy).,2026-01-08,19:00
Scenario + W&B + Performance (Light),"ACS focus: PA.III.B / PA.V.A / PA.V.D / PA.V.B. Outcome: Build Tampa scenario plan, W&B, and performance numbers; explain each number source.",2026-01-09,09:00
Anki Light Review (15–20 min),Focus only on missed ACS codes + yesterday’s theme. Keep it easy.,2026-01-09,14:00
Regulations + Ramp check (Hard),ACS focus: PA.I.B / PA.I.C. Outcome: Certificates/medical/endorsements/currency; ramp-check Q&A tied to scenario.,2026-01-11,09:00
Mock Oral (No-lookup) + Anki,20 min: answer out loud (DPE style). 25 min: Anki review (missed codes heavy).,2026-01-11,19:00
Airworthiness + Maintenance (Light),"ACS focus: PA.II.B. Outcome: ARROW, inspections, ELT, inop equipment flow, owner/operator/PIC; logbook review.",2026-01-12,09:00
Anki Light Review (15–20 min),Focus only on missed ACS codes + yesterday’s theme. Keep it easy.,2026-01-12,18:00
Weather + ADM (Hard),"ACS focus: PA.I.E / PA.IX.A. Outcome: Briefing workflow, METAR/TAF/PIREP/AIRMET/SIGMET; personal minimums; go/no-go.",2026-01-13,09:00
Mock Oral (No-lookup) + Anki,20 min: answer out loud (DPE style). 25 min: Anki review (missed codes heavy).,2026-01-13,19:00
XC Navlog mastery (Light),ACS focus: PA.III.B. Outcome: Explain navlog calculations; winds aloft; real clock ETAs; alternates; fuel planning.,2026-01-14,09:00
Anki Light Review (15–20 min),Focus only on missed ACS codes + yesterday’s theme. Keep it easy.,2026-01-14,18:00
Airspace + Sectional + Chart Supplement (Hard),ACS focus: PA.I.F. Outcome: Route airspace/SUA; airport diagram; Chart Supplement (LDA/remarks).,2026-01-15,09:00
Mock Oral (No-lookup) + Anki,20 min: answer out loud (DPE style). 25 min: Anki review (missed codes heavy).,2026-01-15,19:00
Systems + Aerodynamics (Light),"ACS focus: PA.VI / PA.VII. Outcome: Controls, engine, electrical, lights, stall warning; Bernoulli/Newton; stalls/CG effects.",2026-01-16,09:00
Anki Light Review (15–20 min),Focus only on missed ACS codes + yesterday’s theme. Keep it easy.,2026-01-16,14:00
Human factors + Emergencies (Hard),"ACS focus: PA.XII / PA.IV. Outcome: Hypoxia types, alcohol/IMSAFE; emergency descent; lost procedures; passenger management.",2026-01-18,09:00
Mock Oral (No-lookup) + Anki,20 min: answer out loud (DPE style). 25 min: Anki review (missed codes heavy).,2026-01-18,19:00
Scenario + W&B + Performance (Light),"ACS focus: PA.III.B / PA.V.A / PA.V.D / PA.V.B. Outcome: Build Tampa scenario plan, W&B, and performance numbers; explain each number source.",2026-01-19,09:00
Anki Light Review (15–20 min),Focus only on missed ACS codes + yesterday’s theme. Keep it easy.,2026-01-19,18:00
Regulations + Ramp check (Hard),ACS focus: PA.I.B / PA.I.C. Outcome: Certificates/medical/endorsements/currency; ramp-check Q&A tied to scenario.,2026-01-20,09:00
Mock Oral (No-lookup) + Anki,20 min: answer out loud (DPE style). 25 min: Anki review (missed codes heavy).,2026-01-20,19:00
Airworthiness + Maintenance (Light),"ACS focus: PA.II.B. Outcome: ARROW, inspections, ELT, inop equipment flow, owner/operator/PIC; logbook review.",2026-01-21,09:00
Anki Light Review (15–20 min),Focus only on missed ACS codes + yesterday’s theme. Keep it easy.,2026-01-21,18:00
Weather + ADM (Hard),"ACS focus: PA.I.E / PA.IX.A. Outcome: Briefing workflow, METAR/TAF/PIREP/AIRMET/SIGMET; personal minimums; go/no-go.",2026-01-22,09:00
Mock Oral (No-lookup) + Anki,20 min: answer out loud (DPE style). 25 min: Anki review (missed codes heavy).,2026-01-22,19:00
XC Navlog mastery (Light),ACS focus: PA.III.B. Outcome: Explain navlog calculations; winds aloft; real clock ETAs; alternates; fuel planning.,2026-01-23,09:00
Anki Light Review (15–20 min),Focus only on missed ACS codes + yesterday’s theme. Keep it easy.,2026-01-23,14:00
Airspace + Sectional + Chart Supplement (Hard),ACS focus: PA.I.F. Outcome: Route airspace/SUA; airport diagram; Chart Supplement (LDA/remarks).,2026-01-25,09:00
Mock Oral (No-lookup) + Anki,20 min: answer out loud (DPE style). 25 min: Anki review (missed codes heavy).,2026-01-25,19:00
Systems + Aerodynamics (Light),"ACS focus: PA.VI / PA.VII. Outcome: Controls, engine, electrical, lights, stall warning; Bernoulli/Newton; stalls/CG effects.",2026-01-26,09:00
Anki Light Review (15–20 min),Focus only on missed ACS codes + yesterday’s theme. Keep it easy.,2026-01-26,18:00
Human factors + Emergencies (Hard),"ACS focus: PA.XII / PA.IV. Outcome: Hypoxia types, alcohol/IMSAFE; emergency descent; lost procedures; passenger management.",2026-01-27,09:00
Mock Oral (No-lookup) + Anki,20 min: answer out loud (DPE style). 25 min: Anki review (missed codes heavy).,2026-01-27,19:00
Weekly Full Mock Oral (60–75 min),"Run the Tampa Rays scenario end-to-end: regs, weather, W&B, performance, airspace. Record yourself if possible.",2025-12-14,16:00
Weekly Full Mock Oral (60–75 min),"Run the Tampa Rays scenario end-to-end: regs, weather, W&B, performance, airspace. Record yourself if possible.",2025-12-21,16:00
Weekly Full Mock Oral (60–75 min),"Run the Tampa Rays scenario end-to-end: regs, weather, W&B, performance, airspace. Record yourself if possible.",2025-12-28,16:00
Weekly Full Mock Oral (60–75 min),"Run the Tampa Rays scenario end-to-end: regs, weather, W&B, performance, airspace. Record yourself if possible.",2026-01-04,16:00
Weekly Full Mock Oral (60–75 min),"Run the Tampa Rays scenario end-to-end: regs, weather, W&B, performance, airspace. Record yourself if possible.",2026-01-11,16:00
Weekly Full Mock Oral (60–75 min),"Run the Tampa Rays scenario end-to-end: regs, weather, W&B, performance, airspace. Record yourself if possible.",2026-01-18,16:00
Weekly Full Mock Oral (60–75 min),"Run the Tampa Rays scenario end-to-end: regs, weather, W&B, performance, airspace. Record yourself if possible.",2026-01-25,16:00
